Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,38,13
Northwest Territory,0,0,1,38,13
Greenland,0,0,1,38,13
Alberta,0,0,1,38,13
Ontario,0,0,1,38,13
Quebec,0,0,1,38,13
Western United States,0,0,1,38,13
Eastern United States,0,0,1,38,13
Central America,0,0,1,38,13
Venezuela,0,0,2,38,13
Peru,0,0,1,38,13
Brazil,0,0,1,38,13
Argentina,0,0,1,38,13
North Africa,0,0,38,38,13
Egypt,0,1,0,38,13
East Africa,0,1,0,38,13
Congo,0,1,0,38,13
South Africa,0,1,0,38,13
Madagascar,0,1,0,38,13
Western Europe,0,1,0,38,13
Southern Europe,0,1,0,38,13
Northern Europe,0,1,0,38,13
Great Britain,0,1,0,38,13
Iceland,0,1,0,38,13
Scandinavia,0,3,0,38,13
Ukraine,0,33,0,38,13
Afghanistan,0,4,0,38,13
Ural,0,1,0,38,13
Siberia,1,0,0,38,13
Yakutsk,1,0,0,38,13
Kamchatka,1,0,0,38,13
Irkutsk,1,0,0,38,13
Mongolia,0,1,0,38,13
Japan,1,0,0,38,13
China,0,1,0,38,13
India,0,3,0,38,13
Siam,0,1,0,38,13
Indonesia,0,3,0,38,13
New Guinea,0,22,0,38,13
Western Australia,0,2,0,38,13
Eastern Australia,0,14,0,38,13
Middle East,0,1,0,38,13
