Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,30,10
Northwest Territory,0,0,1,30,10
Greenland,0,0,1,30,10
Alberta,0,0,1,30,10
Ontario,0,0,1,30,10
Quebec,0,0,1,30,10
Western United States,0,0,1,30,10
Eastern United States,0,0,1,30,10
Central America,0,0,1,30,10
Venezuela,0,0,44,30,10
Peru,0,0,1,30,10
Brazil,0,0,1,30,10
Argentina,0,0,1,30,10
North Africa,0,1,0,30,10
Egypt,0,1,0,30,10
East Africa,1,0,0,30,10
Congo,1,0,0,30,10
South Africa,1,0,0,30,10
Madagascar,0,1,0,30,10
Western Europe,0,1,0,30,10
Southern Europe,0,1,0,30,10
Northern Europe,0,1,0,30,10
Great Britain,0,1,0,30,10
Iceland,0,1,0,30,10
Scandinavia,0,1,0,30,10
Ukraine,0,3,0,30,10
Afghanistan,0,1,0,30,10
Ural,0,1,0,30,10
Siberia,0,1,0,30,10
Yakutsk,0,0,1,30,10
Kamchatka,0,0,1,30,10
Irkutsk,0,0,1,30,10
Mongolia,0,0,1,30,10
Japan,1,0,0,30,10
China,0,1,0,30,10
India,0,11,0,30,10
Siam,0,1,0,30,10
Indonesia,0,1,0,30,10
New Guinea,0,7,0,30,10
Western Australia,0,1,0,30,10
Eastern Australia,0,24,0,30,10
Middle East,0,1,0,30,10
