Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,8,26,9
Northwest Territory,0,0,1,26,9
Greenland,0,0,1,26,9
Alberta,0,0,1,26,9
Ontario,0,0,1,26,9
Quebec,0,0,4,26,9
Western United States,0,0,1,26,9
Eastern United States,0,0,1,26,9
Central America,0,0,1,26,9
Venezuela,0,0,1,26,9
Peru,0,0,1,26,9
Brazil,0,0,1,26,9
Argentina,0,0,1,26,9
North Africa,1,0,0,26,9
Egypt,1,0,0,26,9
East Africa,1,0,0,26,9
Congo,1,0,0,26,9
South Africa,1,0,0,26,9
Madagascar,0,1,0,26,9
Western Europe,0,1,0,26,9
Southern Europe,0,1,0,26,9
Northern Europe,0,1,0,26,9
Great Britain,0,1,0,26,9
Iceland,0,1,0,26,9
Scandinavia,0,1,0,26,9
Ukraine,0,7,0,26,9
Afghanistan,0,1,0,26,9
Ural,0,1,0,26,9
Siberia,0,1,0,26,9
Yakutsk,0,0,1,26,9
Kamchatka,0,0,1,26,9
Irkutsk,0,0,1,26,9
Mongolia,0,0,1,26,9
Japan,1,0,0,26,9
China,0,1,0,26,9
India,0,4,0,26,9
Siam,0,1,0,26,9
Indonesia,0,1,0,26,9
New Guinea,0,5,0,26,9
Western Australia,0,1,0,26,9
Eastern Australia,0,24,0,26,9
Middle East,0,1,0,26,9
