Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,31,11
Northwest Territory,0,0,1,31,11
Greenland,0,0,1,31,11
Alberta,0,0,1,31,11
Ontario,0,0,1,31,11
Quebec,0,0,1,31,11
Western United States,0,0,1,31,11
Eastern United States,0,0,1,31,11
Central America,0,0,1,31,11
Venezuela,0,0,44,31,11
Peru,8,0,0,31,11
Brazil,1,0,0,31,11
Argentina,0,0,1,31,11
North Africa,1,0,0,31,11
Egypt,1,0,0,31,11
East Africa,1,0,0,31,11
Congo,1,0,0,31,11
South Africa,1,0,0,31,11
Madagascar,0,1,0,31,11
Western Europe,0,1,0,31,11
Southern Europe,0,1,0,31,11
Northern Europe,0,1,0,31,11
Great Britain,0,1,0,31,11
Iceland,0,1,0,31,11
Scandinavia,0,1,0,31,11
Ukraine,0,3,0,31,11
Afghanistan,0,1,0,31,11
Ural,0,1,0,31,11
Siberia,0,1,0,31,11
Yakutsk,0,0,1,31,11
Kamchatka,0,0,1,31,11
Irkutsk,0,0,1,31,11
Mongolia,0,0,1,31,11
Japan,1,0,0,31,11
China,0,1,0,31,11
India,0,11,0,31,11
Siam,0,1,0,31,11
Indonesia,0,1,0,31,11
New Guinea,0,7,0,31,11
Western Australia,0,1,0,31,11
Eastern Australia,0,24,0,31,11
Middle East,0,1,0,31,11
