Territory,gpt-4o,llama3.1_70,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,10,4
Northwest Territory,0,0,1,10,4
Greenland,1,0,0,10,4
Alberta,0,0,1,10,4
Ontario,0,0,1,10,4
Quebec,1,0,0,10,4
Western United States,0,0,1,10,4
Eastern United States,0,0,1,10,4
Central America,0,0,1,10,4
Venezuela,0,0,1,10,4
Peru,0,0,1,10,4
Brazil,0,0,1,10,4
Argentina,0,0,1,10,4
North Africa,0,0,1,10,4
Egypt,0,1,0,10,4
East Africa,0,1,0,10,4
Congo,1,0,0,10,4
South Africa,0,1,0,10,4
Madagascar,0,1,0,10,4
Western Europe,1,0,0,10,4
Southern Europe,0,1,0,10,4
Northern Europe,0,1,0,10,4
Great Britain,0,0,1,10,4
Iceland,1,0,0,10,4
Scandinavia,1,0,0,10,4
Ukraine,0,1,0,10,4
Afghanistan,0,6,0,10,4
Ural,0,1,0,10,4
Siberia,0,1,0,10,4
Yakutsk,0,1,0,10,4
Kamchatka,0,0,1,10,4
Irkutsk,0,0,1,10,4
Mongolia,0,0,1,10,4
Japan,1,0,0,10,4
China,0,1,0,10,4
India,0,15,0,10,4
Siam,0,1,0,10,4
Indonesia,0,1,0,10,4
New Guinea,0,4,0,10,4
Western Australia,0,1,0,10,4
Eastern Australia,0,9,0,10,4
Middle East,0,1,0,10,4
