Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,1,0,17,6
Northwest Territory,0,1,0,17,6
Greenland,0,1,0,17,6
Alberta,0,2,0,17,6
Ontario,0,1,0,17,6
Quebec,0,0,1,17,6
Western United States,0,1,0,17,6
Eastern United States,0,0,1,17,6
Central America,0,0,1,17,6
Venezuela,0,0,3,17,6
Peru,0,0,1,17,6
Brazil,0,0,1,17,6
Argentina,0,0,3,17,6
North Africa,0,0,1,17,6
Egypt,0,0,1,17,6
East Africa,0,0,1,17,6
Congo,0,0,1,17,6
South Africa,1,0,0,17,6
Madagascar,1,0,0,17,6
Western Europe,1,0,0,17,6
Southern Europe,0,0,1,17,6
Northern Europe,1,0,0,17,6
Great Britain,1,0,0,17,6
Iceland,1,0,0,17,6
Scandinavia,3,0,0,17,6
Ukraine,1,0,0,17,6
Afghanistan,0,0,1,17,6
Ural,0,1,0,17,6
Siberia,0,1,0,17,6
Yakutsk,0,1,0,17,6
Kamchatka,0,1,0,17,6
Irkutsk,0,0,1,17,6
Mongolia,0,1,0,17,6
Japan,0,1,0,17,6
China,0,1,0,17,6
India,1,0,0,17,6
Siam,0,1,0,17,6
Indonesia,1,0,0,17,6
New Guinea,0,0,1,17,6
Western Australia,0,1,0,17,6
Eastern Australia,0,1,0,17,6
Middle East,0,0,1,17,6
