Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,28,10
Northwest Territory,0,0,5,28,10
Greenland,1,0,0,28,10
Alberta,0,0,1,28,10
Ontario,1,0,0,28,10
Quebec,1,0,0,28,10
Western United States,0,0,1,28,10
Eastern United States,1,0,0,28,10
Central America,0,0,1,28,10
Venezuela,0,0,1,28,10
Peru,0,0,1,28,10
Brazil,0,0,7,28,10
Argentina,0,0,1,28,10
North Africa,0,0,1,28,10
Egypt,0,0,1,28,10
East Africa,0,0,1,28,10
Congo,0,0,1,28,10
South Africa,1,0,0,28,10
Madagascar,1,0,0,28,10
Western Europe,1,0,0,28,10
Southern Europe,1,0,0,28,10
Northern Europe,1,0,0,28,10
Great Britain,1,0,0,28,10
Iceland,10,0,0,28,10
Scandinavia,1,0,0,28,10
Ukraine,1,0,0,28,10
Afghanistan,0,1,0,28,10
Ural,0,1,0,28,10
Siberia,0,9,0,28,10
Yakutsk,0,0,1,28,10
Kamchatka,0,0,1,28,10
Irkutsk,0,1,0,28,10
Mongolia,0,1,0,28,10
Japan,0,1,0,28,10
China,0,1,0,28,10
India,1,0,0,28,10
Siam,0,1,0,28,10
Indonesia,0,1,0,28,10
New Guinea,0,1,0,28,10
Western Australia,0,1,0,28,10
Eastern Australia,0,1,0,28,10
Middle East,1,0,0,28,10
