Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,45,15
Northwest Territory,0,0,1,45,15
Greenland,0,0,1,45,15
Alberta,0,0,1,45,15
Ontario,0,0,1,45,15
Quebec,0,0,1,45,15
Western United States,0,0,1,45,15
Eastern United States,0,0,35,45,15
Central America,0,0,31,45,15
Venezuela,5,0,0,45,15
Peru,0,0,1,45,15
Brazil,8,0,0,45,15
Argentina,0,0,1,45,15
North Africa,0,1,0,45,15
Egypt,11,0,0,45,15
East Africa,1,0,0,45,15
Congo,0,1,0,45,15
South Africa,0,1,0,45,15
Madagascar,1,0,0,45,15
Western Europe,0,2,0,45,15
Southern Europe,0,1,0,45,15
Northern Europe,0,9,0,45,15
Great Britain,0,0,1,45,15
Iceland,0,0,1,45,15
Scandinavia,0,4,0,45,15
Ukraine,0,1,0,45,15
Afghanistan,0,1,0,45,15
Ural,0,1,0,45,15
Siberia,0,1,0,45,15
Yakutsk,0,1,0,45,15
Kamchatka,0,1,0,45,15
Irkutsk,0,0,1,45,15
Mongolia,0,1,0,45,15
Japan,0,1,0,45,15
China,0,1,0,45,15
India,0,1,0,45,15
Siam,1,0,0,45,15
Indonesia,1,0,0,45,15
New Guinea,0,0,1,45,15
Western Australia,1,0,0,45,15
Eastern Australia,0,1,0,45,15
Middle East,0,1,0,45,15
