Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,49,17
Northwest Territory,0,0,1,49,17
Greenland,0,0,23,49,17
Alberta,0,0,1,49,17
Ontario,0,0,1,49,17
Quebec,0,0,1,49,17
Western United States,0,0,1,49,17
Eastern United States,0,0,40,49,17
Central America,0,0,1,49,17
Venezuela,0,0,1,49,17
Peru,0,0,1,49,17
Brazil,0,0,1,49,17
Argentina,0,0,1,49,17
North Africa,12,0,0,49,17
Egypt,1,0,0,49,17
East Africa,0,1,0,49,17
Congo,0,1,0,49,17
South Africa,0,1,0,49,17
Madagascar,1,0,0,49,17
Western Europe,0,1,0,49,17
Southern Europe,0,1,0,49,17
Northern Europe,0,11,0,49,17
Great Britain,0,1,0,49,17
Iceland,0,1,0,49,17
Scandinavia,0,17,0,49,17
Ukraine,0,6,0,49,17
Afghanistan,0,1,0,49,17
Ural,0,1,0,49,17
Siberia,0,1,0,49,17
Yakutsk,0,1,0,49,17
Kamchatka,0,1,0,49,17
Irkutsk,0,0,1,49,17
Mongolia,0,1,0,49,17
Japan,0,1,0,49,17
China,0,1,0,49,17
India,0,1,0,49,17
Siam,1,0,0,49,17
Indonesia,1,0,0,49,17
New Guinea,0,0,1,49,17
Western Australia,1,0,0,49,17
Eastern Australia,0,1,0,49,17
Middle East,0,1,0,49,17
