Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,47,16
Northwest Territory,0,0,1,47,16
Greenland,0,0,1,47,16
Alberta,0,0,1,47,16
Ontario,0,0,1,47,16
Quebec,0,0,1,47,16
Western United States,0,0,1,47,16
Eastern United States,0,0,35,47,16
Central America,0,0,31,47,16
Venezuela,5,0,0,47,16
Peru,0,0,1,47,16
Brazil,8,0,0,47,16
Argentina,0,0,1,47,16
North Africa,0,1,0,47,16
Egypt,13,0,0,47,16
East Africa,0,1,0,47,16
Congo,0,1,0,47,16
South Africa,0,1,0,47,16
Madagascar,1,0,0,47,16
Western Europe,0,1,0,47,16
Southern Europe,0,1,0,47,16
Northern Europe,0,11,0,47,16
Great Britain,0,1,0,47,16
Iceland,0,1,0,47,16
Scandinavia,0,17,0,47,16
Ukraine,0,6,0,47,16
Afghanistan,0,1,0,47,16
Ural,0,1,0,47,16
Siberia,0,1,0,47,16
Yakutsk,0,1,0,47,16
Kamchatka,0,1,0,47,16
Irkutsk,0,0,1,47,16
Mongolia,0,1,0,47,16
Japan,0,1,0,47,16
China,0,1,0,47,16
India,0,1,0,47,16
Siam,1,0,0,47,16
Indonesia,1,0,0,47,16
New Guinea,0,0,1,47,16
Western Australia,1,0,0,47,16
Eastern Australia,0,1,0,47,16
Middle East,0,1,0,47,16
