Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,0,4,6,2
Northwest Territory,0,0,1,6,2
Greenland,0,0,1,6,2
Alberta,0,0,4,6,2
Ontario,0,0,5,6,2
Quebec,0,0,1,6,2
Western United States,0,0,1,6,2
Eastern United States,0,0,1,6,2
Central America,11,0,0,6,2
Venezuela,0,1,0,6,2
Peru,0,1,0,6,2
Brazil,0,1,0,6,2
Argentina,0,13,0,6,2
North Africa,0,1,0,6,2
Egypt,0,1,0,6,2
East Africa,0,1,0,6,2
Congo,1,0,0,6,2
South Africa,1,0,0,6,2
Madagascar,0,0,1,6,2
Western Europe,0,1,0,6,2
Southern Europe,0,1,0,6,2
Northern Europe,0,5,0,6,2
Great Britain,0,0,1,6,2
Iceland,0,0,1,6,2
Scandinavia,0,1,0,6,2
Ukraine,0,1,0,6,2
Afghanistan,1,0,0,6,2
Ural,1,0,0,6,2
Siberia,0,1,0,6,2
Yakutsk,0,0,1,6,2
Kamchatka,0,0,1,6,2
Irkutsk,0,0,1,6,2
Mongolia,1,0,0,6,2
Japan,0,1,0,6,2
China,0,0,1,6,2
India,0,1,0,6,2
Siam,0,1,0,6,2
Indonesia,0,0,1,6,2
New Guinea,1,0,0,6,2
Western Australia,0,0,1,6,2
Eastern Australia,1,0,0,6,2
Middle East,0,1,0,6,2
