Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,2,1
Northwest Territory,0,1,0,2,1
Greenland,0,1,0,2,1
Alberta,0,1,0,2,1
Ontario,0,1,0,2,1
Quebec,0,1,0,2,1
Western United States,0,12,0,2,1
Eastern United States,0,1,0,2,1
Central America,0,1,0,2,1
Venezuela,0,1,0,2,1
Peru,1,0,0,2,1
Brazil,0,0,1,2,1
Argentina,0,0,1,2,1
North Africa,1,0,0,2,1
Egypt,1,0,0,2,1
East Africa,1,0,0,2,1
Congo,0,0,1,2,1
South Africa,0,0,1,2,1
Madagascar,1,0,0,2,1
Western Europe,0,0,12,2,1
Southern Europe,0,0,1,2,1
Northern Europe,0,1,0,2,1
Great Britain,0,1,0,2,1
Iceland,0,1,0,2,1
Scandinavia,0,1,0,2,1
Ukraine,1,0,0,2,1
Afghanistan,0,0,1,2,1
Ural,0,1,0,2,1
Siberia,16,0,0,2,1
Yakutsk,1,0,0,2,1
Kamchatka,1,0,0,2,1
Irkutsk,3,0,0,2,1
Mongolia,1,0,0,2,1
Japan,3,0,0,2,1
China,1,0,0,2,1
India,0,0,1,2,1
Siam,1,0,0,2,1
Indonesia,0,1,0,2,1
New Guinea,0,0,1,2,1
Western Australia,1,0,0,2,1
Eastern Australia,0,0,1,2,1
Middle East,0,1,0,2,1
