Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,12,0,16,6
Northwest Territory,0,1,0,16,6
Greenland,0,1,0,16,6
Alberta,0,1,0,16,6
Ontario,0,1,0,16,6
Quebec,0,1,0,16,6
Western United States,0,0,1,16,6
Eastern United States,0,0,1,16,6
Central America,0,0,1,16,6
Venezuela,0,0,1,16,6
Peru,0,0,1,16,6
Brazil,0,0,1,16,6
Argentina,0,0,1,16,6
North Africa,5,0,0,16,6
Egypt,1,0,0,16,6
East Africa,1,0,0,16,6
Congo,0,0,1,16,6
South Africa,1,0,0,16,6
Madagascar,1,0,0,16,6
Western Europe,2,0,0,16,6
Southern Europe,1,0,0,16,6
Northern Europe,1,0,0,16,6
Great Britain,2,0,0,16,6
Iceland,1,0,0,16,6
Scandinavia,2,0,0,16,6
Ukraine,2,0,0,16,6
Afghanistan,4,0,0,16,6
Ural,0,1,0,16,6
Siberia,0,1,0,16,6
Yakutsk,1,0,0,16,6
Kamchatka,1,0,0,16,6
Irkutsk,1,0,0,16,6
Mongolia,1,0,0,16,6
Japan,10,0,0,16,6
China,0,1,0,16,6
India,0,1,0,16,6
Siam,1,0,0,16,6
Indonesia,0,1,0,16,6
New Guinea,0,0,1,16,6
Western Australia,1,0,0,16,6
Eastern Australia,0,0,1,16,6
Middle East,3,0,0,16,6
