Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,4,2
Northwest Territory,0,1,0,4,2
Greenland,0,1,0,4,2
Alberta,0,1,0,4,2
Ontario,0,1,0,4,2
Quebec,0,1,0,4,2
Western United States,0,12,0,4,2
Eastern United States,0,1,0,4,2
Central America,0,1,0,4,2
Venezuela,0,1,0,4,2
Peru,1,0,0,4,2
Brazil,0,0,1,4,2
Argentina,0,0,1,4,2
North Africa,1,0,0,4,2
Egypt,0,0,2,4,2
East Africa,1,0,0,4,2
Congo,0,0,1,4,2
South Africa,0,0,1,4,2
Madagascar,1,0,0,4,2
Western Europe,0,0,2,4,2
Southern Europe,0,0,1,4,2
Northern Europe,0,0,1,4,2
Great Britain,0,0,2,4,2
Iceland,0,1,0,4,2
Scandinavia,0,0,1,4,2
Ukraine,1,0,0,4,2
Afghanistan,1,0,0,4,2
Ural,1,0,0,4,2
Siberia,4,0,0,4,2
Yakutsk,1,0,0,4,2
Kamchatka,1,0,0,4,2
Irkutsk,3,0,0,4,2
Mongolia,1,0,0,4,2
Japan,3,0,0,4,2
China,1,0,0,4,2
India,0,0,1,4,2
Siam,1,0,0,4,2
Indonesia,0,1,0,4,2
New Guinea,0,0,1,4,2
Western Australia,1,0,0,4,2
Eastern Australia,0,0,1,4,2
Middle East,9,0,0,4,2
