Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,1,0,0,22,8
Northwest Territory,1,0,0,22,8
Greenland,1,0,0,22,8
Alberta,0,0,1,22,8
Ontario,0,0,1,22,8
Quebec,0,0,1,22,8
Western United States,0,0,1,22,8
Eastern United States,0,0,1,22,8
Central America,0,0,1,22,8
Venezuela,0,0,1,22,8
Peru,0,0,1,22,8
Brazil,1,0,0,22,8
Argentina,0,0,1,22,8
North Africa,1,0,0,22,8
Egypt,1,0,0,22,8
East Africa,1,0,0,22,8
Congo,0,0,1,22,8
South Africa,1,0,0,22,8
Madagascar,1,0,0,22,8
Western Europe,1,0,0,22,8
Southern Europe,1,0,0,22,8
Northern Europe,1,0,0,22,8
Great Britain,1,0,0,22,8
Iceland,1,0,0,22,8
Scandinavia,2,0,0,22,8
Ukraine,6,0,0,22,8
Afghanistan,1,0,0,22,8
Ural,1,0,0,22,8
Siberia,1,0,0,22,8
Yakutsk,8,0,0,22,8
Kamchatka,1,0,0,22,8
Irkutsk,2,0,0,22,8
Mongolia,1,0,0,22,8
Japan,1,0,0,22,8
China,1,0,0,22,8
India,1,0,0,22,8
Siam,0,1,0,22,8
Indonesia,0,1,0,22,8
New Guinea,0,0,1,22,8
Western Australia,1,0,0,22,8
Eastern Australia,0,0,1,22,8
Middle East,1,0,0,22,8
