Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,1,0,0,20,7
Northwest Territory,2,0,0,20,7
Greenland,0,0,1,20,7
Alberta,0,0,1,20,7
Ontario,0,0,1,20,7
Quebec,0,0,1,20,7
Western United States,0,0,1,20,7
Eastern United States,0,0,1,20,7
Central America,0,0,1,20,7
Venezuela,0,0,6,20,7
Peru,0,0,1,20,7
Brazil,1,0,0,20,7
Argentina,0,0,1,20,7
North Africa,5,0,0,20,7
Egypt,1,0,0,20,7
East Africa,1,0,0,20,7
Congo,0,0,1,20,7
South Africa,1,0,0,20,7
Madagascar,1,0,0,20,7
Western Europe,5,0,0,20,7
Southern Europe,1,0,0,20,7
Northern Europe,1,0,0,20,7
Great Britain,1,0,0,20,7
Iceland,1,0,0,20,7
Scandinavia,2,0,0,20,7
Ukraine,2,0,0,20,7
Afghanistan,1,0,0,20,7
Ural,1,0,0,20,7
Siberia,1,0,0,20,7
Yakutsk,3,0,0,20,7
Kamchatka,1,0,0,20,7
Irkutsk,2,0,0,20,7
Mongolia,4,0,0,20,7
Japan,1,0,0,20,7
China,0,1,0,20,7
India,0,1,0,20,7
Siam,0,1,0,20,7
Indonesia,0,1,0,20,7
New Guinea,0,0,1,20,7
Western Australia,1,0,0,20,7
Eastern Australia,0,0,1,20,7
Middle East,3,0,0,20,7
