Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,3,0,17,6
Northwest Territory,0,1,0,17,6
Greenland,0,1,0,17,6
Alberta,0,1,0,17,6
Ontario,0,1,0,17,6
Quebec,0,1,0,17,6
Western United States,0,0,1,17,6
Eastern United States,0,0,1,17,6
Central America,0,0,1,17,6
Venezuela,0,0,1,17,6
Peru,0,0,1,17,6
Brazil,0,0,1,17,6
Argentina,0,0,1,17,6
North Africa,5,0,0,17,6
Egypt,1,0,0,17,6
East Africa,1,0,0,17,6
Congo,0,0,1,17,6
South Africa,1,0,0,17,6
Madagascar,1,0,0,17,6
Western Europe,2,0,0,17,6
Southern Europe,1,0,0,17,6
Northern Europe,1,0,0,17,6
Great Britain,2,0,0,17,6
Iceland,1,0,0,17,6
Scandinavia,2,0,0,17,6
Ukraine,2,0,0,17,6
Afghanistan,4,0,0,17,6
Ural,0,1,0,17,6
Siberia,0,1,0,17,6
Yakutsk,0,1,0,17,6
Kamchatka,0,6,0,17,6
Irkutsk,0,1,0,17,6
Mongolia,0,1,0,17,6
Japan,10,0,0,17,6
China,0,1,0,17,6
India,0,1,0,17,6
Siam,1,0,0,17,6
Indonesia,0,1,0,17,6
New Guinea,0,0,1,17,6
Western Australia,1,0,0,17,6
Eastern Australia,0,0,1,17,6
Middle East,3,0,0,17,6
