Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,12,0,15,5
Northwest Territory,0,1,0,15,5
Greenland,0,1,0,15,5
Alberta,0,1,0,15,5
Ontario,0,1,0,15,5
Quebec,0,1,0,15,5
Western United States,0,0,1,15,5
Eastern United States,0,0,1,15,5
Central America,0,0,1,15,5
Venezuela,0,0,1,15,5
Peru,0,0,1,15,5
Brazil,0,0,1,15,5
Argentina,0,0,1,15,5
North Africa,5,0,0,15,5
Egypt,1,0,0,15,5
East Africa,1,0,0,15,5
Congo,0,0,1,15,5
South Africa,1,0,0,15,5
Madagascar,1,0,0,15,5
Western Europe,2,0,0,15,5
Southern Europe,1,0,0,15,5
Northern Europe,1,0,0,15,5
Great Britain,3,0,0,15,5
Iceland,0,1,0,15,5
Scandinavia,2,0,0,15,5
Ukraine,2,0,0,15,5
Afghanistan,0,1,0,15,5
Ural,0,1,0,15,5
Siberia,0,1,0,15,5
Yakutsk,0,1,0,15,5
Kamchatka,0,1,0,15,5
Irkutsk,1,0,0,15,5
Mongolia,1,0,0,15,5
Japan,10,0,0,15,5
China,0,1,0,15,5
India,0,1,0,15,5
Siam,1,0,0,15,5
Indonesia,0,1,0,15,5
New Guinea,0,0,1,15,5
Western Australia,1,0,0,15,5
Eastern Australia,0,0,1,15,5
Middle East,4,0,0,15,5
