Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,0,0
Northwest Territory,0,1,0,0,0
Greenland,0,22,0,0,0
Alberta,0,1,0,0,0
Ontario,0,1,0,0,0
Quebec,1,0,0,0,0
Western United States,0,1,0,0,0
Eastern United States,0,1,0,0,0
Central America,0,1,0,0,0
Venezuela,0,1,0,0,0
Peru,1,0,0,0,0
Brazil,0,0,1,0,0
Argentina,0,0,1,0,0
North Africa,1,0,0,0,0
Egypt,1,0,0,0,0
East Africa,1,0,0,0,0
Congo,0,0,1,0,0
South Africa,0,0,1,0,0
Madagascar,1,0,0,0,0
Western Europe,0,0,22,0,0
Southern Europe,0,0,1,0,0
Northern Europe,0,1,0,0,0
Great Britain,1,0,0,0,0
Iceland,0,0,1,0,0
Scandinavia,0,1,0,0,0
Ukraine,1,0,0,0,0
Afghanistan,0,0,1,0,0
Ural,0,1,0,0,0
Siberia,1,0,0,0,0
Yakutsk,1,0,0,0,0
Kamchatka,0,0,1,0,0
Irkutsk,0,0,1,0,0
Mongolia,22,0,0,0,0
Japan,0,1,0,0,0
China,1,0,0,0,0
India,0,0,1,0,0
Siam,1,0,0,0,0
Indonesia,0,1,0,0,0
New Guinea,0,0,1,0,0
Western Australia,1,0,0,0,0
Eastern Australia,0,0,1,0,0
Middle East,0,1,0,0,0
