Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,12,4
Northwest Territory,0,21,0,12,4
Greenland,0,1,0,12,4
Alberta,0,1,0,12,4
Ontario,0,1,0,12,4
Quebec,0,1,0,12,4
Western United States,0,1,0,12,4
Eastern United States,0,1,0,12,4
Central America,0,1,0,12,4
Venezuela,0,0,2,12,4
Peru,0,0,1,12,4
Brazil,0,0,1,12,4
Argentina,0,0,1,12,4
North Africa,1,0,0,12,4
Egypt,1,0,0,12,4
East Africa,1,0,0,12,4
Congo,0,0,1,12,4
South Africa,1,0,0,12,4
Madagascar,1,0,0,12,4
Western Europe,0,0,1,12,4
Southern Europe,1,0,0,12,4
Northern Europe,0,0,1,12,4
Great Britain,0,0,1,12,4
Iceland,0,1,0,12,4
Scandinavia,0,0,1,12,4
Ukraine,1,0,0,12,4
Afghanistan,1,0,0,12,4
Ural,1,0,0,12,4
Siberia,6,0,0,12,4
Yakutsk,1,0,0,12,4
Kamchatka,1,0,0,12,4
Irkutsk,1,0,0,12,4
Mongolia,1,0,0,12,4
Japan,5,0,0,12,4
China,1,0,0,12,4
India,1,0,0,12,4
Siam,1,0,0,12,4
Indonesia,0,1,0,12,4
New Guinea,0,0,1,12,4
Western Australia,1,0,0,12,4
Eastern Australia,0,0,1,12,4
Middle East,5,0,0,12,4
