Territory,llama3.1_70,gpt-4o,Claude_Sonnet_3_5,Turn_Number,Game_Round
Alaska,0,0,1,13,5
Northwest Territory,0,21,0,13,5
Greenland,0,1,0,13,5
Alberta,0,1,0,13,5
Ontario,0,1,0,13,5
Quebec,0,1,0,13,5
Western United States,0,1,0,13,5
Eastern United States,0,1,0,13,5
Central America,0,1,0,13,5
Venezuela,0,0,2,13,5
Peru,0,0,1,13,5
Brazil,0,0,1,13,5
Argentina,0,0,1,13,5
North Africa,5,0,0,13,5
Egypt,1,0,0,13,5
East Africa,1,0,0,13,5
Congo,0,0,1,13,5
South Africa,1,0,0,13,5
Madagascar,1,0,0,13,5
Western Europe,2,0,0,13,5
Southern Europe,1,0,0,13,5
Northern Europe,1,0,0,13,5
Great Britain,3,0,0,13,5
Iceland,0,1,0,13,5
Scandinavia,2,0,0,13,5
Ukraine,2,0,0,13,5
Afghanistan,1,0,0,13,5
Ural,1,0,0,13,5
Siberia,1,0,0,13,5
Yakutsk,1,0,0,13,5
Kamchatka,1,0,0,13,5
Irkutsk,1,0,0,13,5
Mongolia,1,0,0,13,5
Japan,10,0,0,13,5
China,1,0,0,13,5
India,1,0,0,13,5
Siam,1,0,0,13,5
Indonesia,0,1,0,13,5
New Guinea,0,0,1,13,5
Western Australia,1,0,0,13,5
Eastern Australia,0,0,1,13,5
Middle East,5,0,0,13,5
