Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,23,8
Northwest Territory,1,0,0,23,8
Greenland,1,0,0,23,8
Alberta,1,0,0,23,8
Ontario,1,0,0,23,8
Quebec,1,0,0,23,8
Western United States,1,0,0,23,8
Eastern United States,16,0,0,23,8
Central America,8,0,0,23,8
Venezuela,0,0,5,23,8
Peru,0,0,1,23,8
Brazil,0,0,3,23,8
Argentina,0,0,1,23,8
North Africa,0,1,0,23,8
Egypt,0,1,0,23,8
East Africa,0,1,0,23,8
Congo,0,1,0,23,8
South Africa,1,0,0,23,8
Madagascar,0,1,0,23,8
Western Europe,0,1,0,23,8
Southern Europe,0,1,0,23,8
Northern Europe,0,1,0,23,8
Great Britain,0,1,0,23,8
Iceland,1,0,0,23,8
Scandinavia,0,4,0,23,8
Ukraine,0,1,0,23,8
Afghanistan,0,1,0,23,8
Ural,0,1,0,23,8
Siberia,0,0,1,23,8
Yakutsk,0,0,1,23,8
Kamchatka,0,0,1,23,8
Irkutsk,0,1,0,23,8
Mongolia,1,0,0,23,8
Japan,0,1,0,23,8
China,0,0,1,23,8
India,0,0,1,23,8
Siam,0,1,0,23,8
Indonesia,0,0,1,23,8
New Guinea,1,0,0,23,8
Western Australia,0,1,0,23,8
Eastern Australia,0,0,1,23,8
Middle East,0,1,0,23,8
