Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,21,7
Northwest Territory,1,0,0,21,7
Greenland,1,0,0,21,7
Alberta,1,0,0,21,7
Ontario,1,0,0,21,7
Quebec,1,0,0,21,7
Western United States,1,0,0,21,7
Eastern United States,19,0,0,21,7
Central America,0,0,1,21,7
Venezuela,0,0,5,21,7
Peru,0,0,1,21,7
Brazil,0,0,3,21,7
Argentina,0,0,1,21,7
North Africa,0,0,1,21,7
Egypt,0,1,0,21,7
East Africa,1,0,0,21,7
Congo,0,1,0,21,7
South Africa,1,0,0,21,7
Madagascar,0,1,0,21,7
Western Europe,0,1,0,21,7
Southern Europe,0,1,0,21,7
Northern Europe,0,1,0,21,7
Great Britain,1,0,0,21,7
Iceland,1,0,0,21,7
Scandinavia,0,1,0,21,7
Ukraine,0,1,0,21,7
Afghanistan,1,0,0,21,7
Ural,0,1,0,21,7
Siberia,0,0,1,21,7
Yakutsk,0,0,1,21,7
Kamchatka,0,0,1,21,7
Irkutsk,0,1,0,21,7
Mongolia,1,0,0,21,7
Japan,0,1,0,21,7
China,0,0,1,21,7
India,0,0,1,21,7
Siam,0,1,0,21,7
Indonesia,0,0,1,21,7
New Guinea,1,0,0,21,7
Western Australia,0,1,0,21,7
Eastern Australia,0,0,1,21,7
Middle East,0,1,0,21,7
