Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,46,16
Northwest Territory,0,0,1,46,16
Greenland,1,0,0,46,16
Alberta,1,0,0,46,16
Ontario,1,0,0,46,16
Quebec,3,0,0,46,16
Western United States,1,0,0,46,16
Eastern United States,69,0,0,46,16
Central America,1,0,0,46,16
Venezuela,1,0,0,46,16
Peru,1,0,0,46,16
Brazil,0,1,0,46,16
Argentina,0,1,0,46,16
North Africa,0,1,0,46,16
Egypt,0,1,0,46,16
East Africa,0,1,0,46,16
Congo,0,10,0,46,16
South Africa,0,1,0,46,16
Madagascar,0,2,0,46,16
Western Europe,0,1,0,46,16
Southern Europe,0,3,0,46,16
Northern Europe,0,51,0,46,16
Great Britain,0,9,0,46,16
Iceland,0,1,0,46,16
Scandinavia,0,2,0,46,16
Ukraine,0,0,1,46,16
Afghanistan,0,0,1,46,16
Ural,0,0,1,46,16
Siberia,0,0,1,46,16
Yakutsk,0,0,1,46,16
Kamchatka,0,0,3,46,16
Irkutsk,0,0,2,46,16
Mongolia,0,0,1,46,16
Japan,0,0,3,46,16
China,0,0,1,46,16
India,0,0,1,46,16
Siam,0,1,0,46,16
Indonesia,0,1,0,46,16
New Guinea,1,0,0,46,16
Western Australia,0,1,0,46,16
Eastern Australia,0,0,1,46,16
Middle East,0,1,0,46,16
