Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,15,5
Northwest Territory,1,0,0,15,5
Greenland,1,0,0,15,5
Alberta,1,0,0,15,5
Ontario,1,0,0,15,5
Quebec,1,0,0,15,5
Western United States,1,0,0,15,5
Eastern United States,7,0,0,15,5
Central America,3,0,0,15,5
Venezuela,0,0,4,15,5
Peru,0,0,1,15,5
Brazil,0,0,1,15,5
Argentina,0,0,1,15,5
North Africa,0,0,1,15,5
Egypt,0,1,0,15,5
East Africa,1,0,0,15,5
Congo,0,1,0,15,5
South Africa,1,0,0,15,5
Madagascar,0,1,0,15,5
Western Europe,0,1,0,15,5
Southern Europe,0,1,0,15,5
Northern Europe,0,1,0,15,5
Great Britain,1,0,0,15,5
Iceland,1,0,0,15,5
Scandinavia,1,0,0,15,5
Ukraine,0,0,1,15,5
Afghanistan,1,0,0,15,5
Ural,0,1,0,15,5
Siberia,0,0,1,15,5
Yakutsk,0,0,1,15,5
Kamchatka,0,0,1,15,5
Irkutsk,0,1,0,15,5
Mongolia,1,0,0,15,5
Japan,0,1,0,15,5
China,0,0,1,15,5
India,0,0,1,15,5
Siam,0,1,0,15,5
Indonesia,0,0,1,15,5
New Guinea,1,0,0,15,5
Western Australia,0,1,0,15,5
Eastern Australia,0,0,1,15,5
Middle East,0,1,0,15,5
