Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,17,6
Northwest Territory,1,0,0,17,6
Greenland,1,0,0,17,6
Alberta,1,0,0,17,6
Ontario,1,0,0,17,6
Quebec,1,0,0,17,6
Western United States,1,0,0,17,6
Eastern United States,17,0,0,17,6
Central America,3,0,0,17,6
Venezuela,0,0,4,17,6
Peru,0,0,1,17,6
Brazil,0,0,1,17,6
Argentina,0,0,1,17,6
North Africa,0,1,0,17,6
Egypt,0,1,0,17,6
East Africa,1,0,0,17,6
Congo,0,1,0,17,6
South Africa,1,0,0,17,6
Madagascar,0,1,0,17,6
Western Europe,0,1,0,17,6
Southern Europe,0,1,0,17,6
Northern Europe,0,1,0,17,6
Great Britain,1,0,0,17,6
Iceland,1,0,0,17,6
Scandinavia,1,0,0,17,6
Ukraine,0,0,1,17,6
Afghanistan,1,0,0,17,6
Ural,0,1,0,17,6
Siberia,0,0,1,17,6
Yakutsk,0,0,1,17,6
Kamchatka,0,0,1,17,6
Irkutsk,0,1,0,17,6
Mongolia,1,0,0,17,6
Japan,0,1,0,17,6
China,0,0,1,17,6
India,0,0,1,17,6
Siam,0,1,0,17,6
Indonesia,0,0,1,17,6
New Guinea,1,0,0,17,6
Western Australia,0,1,0,17,6
Eastern Australia,0,0,1,17,6
Middle East,0,1,0,17,6
