Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,35,12
Northwest Territory,1,0,0,35,12
Greenland,1,0,0,35,12
Alberta,1,0,0,35,12
Ontario,1,0,0,35,12
Quebec,1,0,0,35,12
Western United States,1,0,0,35,12
Eastern United States,46,0,0,35,12
Central America,1,0,0,35,12
Venezuela,0,0,1,35,12
Peru,0,0,1,35,12
Brazil,0,0,4,35,12
Argentina,0,0,1,35,12
North Africa,0,1,0,35,12
Egypt,0,9,0,35,12
East Africa,0,1,0,35,12
Congo,0,3,0,35,12
South Africa,0,1,0,35,12
Madagascar,0,2,0,35,12
Western Europe,0,1,0,35,12
Southern Europe,0,3,0,35,12
Northern Europe,0,24,0,35,12
Great Britain,0,5,0,35,12
Iceland,0,1,0,35,12
Scandinavia,0,2,0,35,12
Ukraine,0,1,0,35,12
Afghanistan,0,1,0,35,12
Ural,0,1,0,35,12
Siberia,0,0,1,35,12
Yakutsk,0,0,1,35,12
Kamchatka,0,0,1,35,12
Irkutsk,0,1,0,35,12
Mongolia,1,0,0,35,12
Japan,0,1,0,35,12
China,0,0,1,35,12
India,0,0,1,35,12
Siam,0,1,0,35,12
Indonesia,0,1,0,35,12
New Guinea,1,0,0,35,12
Western Australia,0,1,0,35,12
Eastern Australia,0,0,1,35,12
Middle East,0,1,0,35,12
