Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,0,0,1,44,15
Northwest Territory,0,0,1,44,15
Greenland,1,0,0,44,15
Alberta,1,0,0,44,15
Ontario,1,0,0,44,15
Quebec,3,0,0,44,15
Western United States,2,0,0,44,15
Eastern United States,51,0,0,44,15
Central America,0,1,0,44,15
Venezuela,0,1,0,44,15
Peru,0,1,0,44,15
Brazil,0,1,0,44,15
Argentina,0,1,0,44,15
North Africa,0,1,0,44,15
Egypt,0,1,0,44,15
East Africa,0,1,0,44,15
Congo,0,10,0,44,15
South Africa,0,1,0,44,15
Madagascar,0,2,0,44,15
Western Europe,0,1,0,44,15
Southern Europe,0,3,0,44,15
Northern Europe,0,51,0,44,15
Great Britain,0,9,0,44,15
Iceland,0,1,0,44,15
Scandinavia,0,2,0,44,15
Ukraine,0,1,0,44,15
Afghanistan,0,0,1,44,15
Ural,0,1,0,44,15
Siberia,0,0,4,44,15
Yakutsk,0,0,1,44,15
Kamchatka,0,0,1,44,15
Irkutsk,0,0,2,44,15
Mongolia,0,0,1,44,15
Japan,0,0,3,44,15
China,0,0,1,44,15
India,0,0,1,44,15
Siam,0,1,0,44,15
Indonesia,0,1,0,44,15
New Guinea,1,0,0,44,15
Western Australia,0,1,0,44,15
Eastern Australia,0,0,1,44,15
Middle East,0,1,0,44,15
