Territory,Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Strong(gpt-4o),Turn_Number,Game_Round
Alaska,1,0,0,11,4
Northwest Territory,1,0,0,11,4
Greenland,1,0,0,11,4
Alberta,1,0,0,11,4
Ontario,1,0,0,11,4
Quebec,1,0,0,11,4
Western United States,1,0,0,11,4
Eastern United States,15,0,0,11,4
Central America,1,0,0,11,4
Venezuela,0,0,1,11,4
Peru,0,0,1,11,4
Brazil,0,0,2,11,4
Argentina,0,0,1,11,4
North Africa,0,0,1,11,4
Egypt,0,1,0,11,4
East Africa,1,0,0,11,4
Congo,0,1,0,11,4
South Africa,1,0,0,11,4
Madagascar,0,1,0,11,4
Western Europe,0,1,0,11,4
Southern Europe,0,1,0,11,4
Northern Europe,0,0,1,11,4
Great Britain,1,0,0,11,4
Iceland,1,0,0,11,4
Scandinavia,1,0,0,11,4
Ukraine,0,0,1,11,4
Afghanistan,1,0,0,11,4
Ural,0,1,0,11,4
Siberia,0,0,1,11,4
Yakutsk,0,0,1,11,4
Kamchatka,0,0,1,11,4
Irkutsk,0,1,0,11,4
Mongolia,1,0,0,11,4
Japan,0,1,0,11,4
China,0,0,1,11,4
India,0,0,1,11,4
Siam,0,1,0,11,4
Indonesia,0,0,1,11,4
New Guinea,1,0,0,11,4
Western Australia,0,1,0,11,4
Eastern Australia,0,0,1,11,4
Middle East,0,1,0,11,4
