Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,0,0,2,41,14
Northwest Territory,0,1,0,41,14
Greenland,0,1,0,41,14
Alberta,1,0,0,41,14
Ontario,1,0,0,41,14
Quebec,1,0,0,41,14
Western United States,2,0,0,41,14
Eastern United States,38,0,0,41,14
Central America,1,0,0,41,14
Venezuela,1,0,0,41,14
Peru,1,0,0,41,14
Brazil,1,0,0,41,14
Argentina,1,0,0,41,14
North Africa,0,1,0,41,14
Egypt,0,1,0,41,14
East Africa,1,0,0,41,14
Congo,1,0,0,41,14
South Africa,0,1,0,41,14
Madagascar,0,1,0,41,14
Western Europe,0,17,0,41,14
Southern Europe,0,2,0,41,14
Northern Europe,0,15,0,41,14
Great Britain,0,1,0,41,14
Iceland,0,48,0,41,14
Scandinavia,0,1,0,41,14
Ukraine,0,1,0,41,14
Afghanistan,0,0,1,41,14
Ural,0,0,1,41,14
Siberia,0,0,1,41,14
Yakutsk,0,0,1,41,14
Kamchatka,0,0,9,41,14
Irkutsk,0,0,1,41,14
Mongolia,0,0,1,41,14
Japan,0,0,1,41,14
China,0,0,1,41,14
India,1,0,0,41,14
Siam,1,0,0,41,14
Indonesia,0,1,0,41,14
New Guinea,0,1,0,41,14
Western Australia,1,0,0,41,14
Eastern Australia,0,1,0,41,14
Middle East,0,1,0,41,14
