Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,1,0,0,29,10
Northwest Territory,1,0,0,29,10
Greenland,0,1,0,29,10
Alberta,1,0,0,29,10
Ontario,1,0,0,29,10
Quebec,1,0,0,29,10
Western United States,1,0,0,29,10
Eastern United States,13,0,0,29,10
Central America,1,0,0,29,10
Venezuela,1,0,0,29,10
Peru,1,0,0,29,10
Brazil,2,0,0,29,10
Argentina,1,0,0,29,10
North Africa,0,1,0,29,10
Egypt,0,1,0,29,10
East Africa,2,0,0,29,10
Congo,0,1,0,29,10
South Africa,0,1,0,29,10
Madagascar,0,1,0,29,10
Western Europe,0,23,0,29,10
Southern Europe,0,1,0,29,10
Northern Europe,0,3,0,29,10
Great Britain,0,1,0,29,10
Iceland,0,14,0,29,10
Scandinavia,0,1,0,29,10
Ukraine,0,1,0,29,10
Afghanistan,1,0,0,29,10
Ural,0,1,0,29,10
Siberia,0,1,0,29,10
Yakutsk,0,0,1,29,10
Kamchatka,0,0,1,29,10
Irkutsk,1,0,0,29,10
Mongolia,1,0,0,29,10
Japan,0,0,1,29,10
China,1,0,0,29,10
India,1,0,0,29,10
Siam,1,0,0,29,10
Indonesia,1,0,0,29,10
New Guinea,0,1,0,29,10
Western Australia,1,0,0,29,10
Eastern Australia,0,1,0,29,10
Middle East,0,1,0,29,10
