Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,5,0,0,20,7
Northwest Territory,1,0,0,20,7
Greenland,2,0,0,20,7
Alberta,1,0,0,20,7
Ontario,1,0,0,20,7
Quebec,1,0,0,20,7
Western United States,0,0,1,20,7
Eastern United States,0,0,1,20,7
Central America,0,0,1,20,7
Venezuela,0,0,1,20,7
Peru,1,0,0,20,7
Brazil,0,0,1,20,7
Argentina,1,0,0,20,7
North Africa,0,1,0,20,7
Egypt,0,1,0,20,7
East Africa,0,1,0,20,7
Congo,0,3,0,20,7
South Africa,0,1,0,20,7
Madagascar,0,1,0,20,7
Western Europe,0,22,0,20,7
Southern Europe,0,1,0,20,7
Northern Europe,0,1,0,20,7
Great Britain,0,1,0,20,7
Iceland,0,5,0,20,7
Scandinavia,0,1,0,20,7
Ukraine,0,1,0,20,7
Afghanistan,1,0,0,20,7
Ural,0,1,0,20,7
Siberia,0,1,0,20,7
Yakutsk,0,1,0,20,7
Kamchatka,1,0,0,20,7
Irkutsk,1,0,0,20,7
Mongolia,1,0,0,20,7
Japan,0,0,1,20,7
China,1,0,0,20,7
India,1,0,0,20,7
Siam,1,0,0,20,7
Indonesia,1,0,0,20,7
New Guinea,0,1,0,20,7
Western Australia,1,0,0,20,7
Eastern Australia,0,1,0,20,7
Middle East,1,0,0,20,7
