Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,3,0,0,8,3
Northwest Territory,1,0,0,8,3
Greenland,1,0,0,8,3
Alberta,1,0,0,8,3
Ontario,0,0,1,8,3
Quebec,0,0,1,8,3
Western United States,0,0,3,8,3
Eastern United States,0,0,1,8,3
Central America,0,0,1,8,3
Venezuela,0,0,1,8,3
Peru,1,0,0,8,3
Brazil,0,0,1,8,3
Argentina,1,0,0,8,3
North Africa,0,0,1,8,3
Egypt,1,0,0,8,3
East Africa,0,0,1,8,3
Congo,1,0,0,8,3
South Africa,1,0,0,8,3
Madagascar,0,0,1,8,3
Western Europe,0,1,0,8,3
Southern Europe,0,1,0,8,3
Northern Europe,0,2,0,8,3
Great Britain,0,3,0,8,3
Iceland,0,20,0,8,3
Scandinavia,0,1,0,8,3
Ukraine,0,1,0,8,3
Afghanistan,1,0,0,8,3
Ural,1,0,0,8,3
Siberia,1,0,0,8,3
Yakutsk,0,1,0,8,3
Kamchatka,1,0,0,8,3
Irkutsk,1,0,0,8,3
Mongolia,1,0,0,8,3
Japan,0,0,1,8,3
China,3,0,0,8,3
India,1,0,0,8,3
Siam,3,0,0,8,3
Indonesia,1,0,0,8,3
New Guinea,0,1,0,8,3
Western Australia,1,0,0,8,3
Eastern Australia,0,1,0,8,3
Middle East,1,0,0,8,3
