Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,1,0,0,49,17
Northwest Territory,1,0,0,49,17
Greenland,0,1,0,49,17
Alberta,3,0,0,49,17
Ontario,1,0,0,49,17
Quebec,1,0,0,49,17
Western United States,1,0,0,49,17
Eastern United States,1,0,0,49,17
Central America,2,0,0,49,17
Venezuela,54,0,0,49,17
Peru,1,0,0,49,17
Brazil,1,0,0,49,17
Argentina,1,0,0,49,17
North Africa,0,1,0,49,17
Egypt,0,1,0,49,17
East Africa,1,0,0,49,17
Congo,1,0,0,49,17
South Africa,0,1,0,49,17
Madagascar,0,1,0,49,17
Western Europe,0,35,0,49,17
Southern Europe,0,19,0,49,17
Northern Europe,0,1,0,49,17
Great Britain,0,1,0,49,17
Iceland,0,8,0,49,17
Scandinavia,0,1,0,49,17
Ukraine,0,1,0,49,17
Afghanistan,0,0,1,49,17
Ural,0,1,0,49,17
Siberia,0,1,0,49,17
Yakutsk,0,1,0,49,17
Kamchatka,0,1,0,49,17
Irkutsk,0,0,1,49,17
Mongolia,0,1,0,49,17
Japan,0,0,1,49,17
China,0,1,0,49,17
India,0,0,1,49,17
Siam,1,0,0,49,17
Indonesia,0,1,0,49,17
New Guinea,0,1,0,49,17
Western Australia,1,0,0,49,17
Eastern Australia,0,1,0,49,17
Middle East,0,1,0,49,17
