Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,2,0,0,4,2
Northwest Territory,2,0,0,4,2
Greenland,0,0,1,4,2
Alberta,2,0,0,4,2
Ontario,1,0,0,4,2
Quebec,0,0,1,4,2
Western United States,1,0,0,4,2
Eastern United States,0,0,4,4,2
Central America,0,0,1,4,2
Venezuela,0,0,1,4,2
Peru,1,0,0,4,2
Brazil,0,0,1,4,2
Argentina,1,0,0,4,2
North Africa,0,0,1,4,2
Egypt,1,0,0,4,2
East Africa,0,0,1,4,2
Congo,1,0,0,4,2
South Africa,1,0,0,4,2
Madagascar,0,0,1,4,2
Western Europe,0,1,0,4,2
Southern Europe,0,1,0,4,2
Northern Europe,0,3,0,4,2
Great Britain,0,1,0,4,2
Iceland,0,1,0,4,2
Scandinavia,0,18,0,4,2
Ukraine,0,1,0,4,2
Afghanistan,7,0,0,4,2
Ural,1,0,0,4,2
Siberia,1,0,0,4,2
Yakutsk,0,1,0,4,2
Kamchatka,1,0,0,4,2
Irkutsk,1,0,0,4,2
Mongolia,1,0,0,4,2
Japan,0,0,1,4,2
China,3,0,0,4,2
India,1,0,0,4,2
Siam,0,0,1,4,2
Indonesia,0,1,0,4,2
New Guinea,0,1,0,4,2
Western Australia,4,0,0,4,2
Eastern Australia,0,1,0,4,2
Middle East,0,1,0,4,2
