Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,1,0,0,13,5
Northwest Territory,1,0,0,13,5
Greenland,0,1,0,13,5
Alberta,1,0,0,13,5
Ontario,0,0,1,13,5
Quebec,0,0,1,13,5
Western United States,0,0,1,13,5
Eastern United States,0,0,4,13,5
Central America,0,0,1,13,5
Venezuela,0,0,1,13,5
Peru,1,0,0,13,5
Brazil,0,0,1,13,5
Argentina,1,0,0,13,5
North Africa,0,0,1,13,5
Egypt,1,0,0,13,5
East Africa,0,0,1,13,5
Congo,1,0,0,13,5
South Africa,1,0,0,13,5
Madagascar,0,0,1,13,5
Western Europe,0,20,0,13,5
Southern Europe,0,1,0,13,5
Northern Europe,0,2,0,13,5
Great Britain,0,5,0,13,5
Iceland,0,3,0,13,5
Scandinavia,0,1,0,13,5
Ukraine,1,0,0,13,5
Afghanistan,11,0,0,13,5
Ural,1,0,0,13,5
Siberia,0,1,0,13,5
Yakutsk,0,1,0,13,5
Kamchatka,1,0,0,13,5
Irkutsk,1,0,0,13,5
Mongolia,1,0,0,13,5
Japan,0,0,1,13,5
China,1,0,0,13,5
India,1,0,0,13,5
Siam,1,0,0,13,5
Indonesia,1,0,0,13,5
New Guinea,0,1,0,13,5
Western Australia,1,0,0,13,5
Eastern Australia,0,1,0,13,5
Middle East,1,0,0,13,5
