Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,1,0,0,10,4
Northwest Territory,1,0,0,10,4
Greenland,1,0,0,10,4
Alberta,1,0,0,10,4
Ontario,0,0,1,10,4
Quebec,0,0,1,10,4
Western United States,0,0,2,10,4
Eastern United States,0,0,1,10,4
Central America,0,0,2,10,4
Venezuela,0,0,1,10,4
Peru,1,0,0,10,4
Brazil,0,0,1,10,4
Argentina,1,0,0,10,4
North Africa,0,0,1,10,4
Egypt,1,0,0,10,4
East Africa,0,0,1,10,4
Congo,1,0,0,10,4
South Africa,1,0,0,10,4
Madagascar,0,0,1,10,4
Western Europe,0,1,0,10,4
Southern Europe,0,1,0,10,4
Northern Europe,0,2,0,10,4
Great Britain,0,3,0,10,4
Iceland,0,20,0,10,4
Scandinavia,0,1,0,10,4
Ukraine,0,1,0,10,4
Afghanistan,6,0,0,10,4
Ural,1,0,0,10,4
Siberia,1,0,0,10,4
Yakutsk,0,1,0,10,4
Kamchatka,1,0,0,10,4
Irkutsk,1,0,0,10,4
Mongolia,1,0,0,10,4
Japan,0,0,1,10,4
China,1,0,0,10,4
India,1,0,0,10,4
Siam,3,0,0,10,4
Indonesia,1,0,0,10,4
New Guinea,0,1,0,10,4
Western Australia,1,0,0,10,4
Eastern Australia,0,1,0,10,4
Middle East,1,0,0,10,4
