Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,0,0,5,45,15
Northwest Territory,0,0,1,45,15
Greenland,0,0,1,45,15
Alberta,0,0,1,45,15
Ontario,0,0,1,45,15
Quebec,0,0,1,45,15
Western United States,0,0,1,45,15
Eastern United States,0,0,2,45,15
Central America,0,0,1,45,15
Venezuela,44,0,0,45,15
Peru,1,0,0,45,15
Brazil,1,0,0,45,15
Argentina,1,0,0,45,15
North Africa,0,1,0,45,15
Egypt,0,1,0,45,15
East Africa,1,0,0,45,15
Congo,1,0,0,45,15
South Africa,0,1,0,45,15
Madagascar,0,1,0,45,15
Western Europe,0,18,0,45,15
Southern Europe,0,0,1,45,15
Northern Europe,0,34,0,45,15
Great Britain,0,1,0,45,15
Iceland,0,36,0,45,15
Scandinavia,0,1,0,45,15
Ukraine,0,0,1,45,15
Afghanistan,0,0,1,45,15
Ural,0,0,7,45,15
Siberia,0,0,1,45,15
Yakutsk,0,0,1,45,15
Kamchatka,0,0,1,45,15
Irkutsk,0,0,1,45,15
Mongolia,0,0,1,45,15
Japan,0,0,1,45,15
China,0,0,1,45,15
India,1,0,0,45,15
Siam,1,0,0,45,15
Indonesia,0,1,0,45,15
New Guinea,0,1,0,45,15
Western Australia,1,0,0,45,15
Eastern Australia,0,1,0,45,15
Middle East,0,1,0,45,15
