Territory,Claude_Sonnet_3_5,llama3.1_70,gpt-4o,Turn_Number,Game_Round
Alaska,16,0,0,18,6
Northwest Territory,2,0,0,18,6
Greenland,0,1,0,18,6
Alberta,0,0,7,18,6
Ontario,0,0,1,18,6
Quebec,0,0,1,18,6
Western United States,0,0,1,18,6
Eastern United States,0,0,1,18,6
Central America,0,0,1,18,6
Venezuela,0,0,1,18,6
Peru,1,0,0,18,6
Brazil,0,0,1,18,6
Argentina,1,0,0,18,6
North Africa,0,1,0,18,6
Egypt,0,1,0,18,6
East Africa,0,1,0,18,6
Congo,0,3,0,18,6
South Africa,0,1,0,18,6
Madagascar,0,1,0,18,6
Western Europe,0,19,0,18,6
Southern Europe,0,1,0,18,6
Northern Europe,0,1,0,18,6
Great Britain,0,8,0,18,6
Iceland,0,3,0,18,6
Scandinavia,0,1,0,18,6
Ukraine,3,0,0,18,6
Afghanistan,1,0,0,18,6
Ural,1,0,0,18,6
Siberia,0,1,0,18,6
Yakutsk,0,1,0,18,6
Kamchatka,1,0,0,18,6
Irkutsk,1,0,0,18,6
Mongolia,1,0,0,18,6
Japan,0,0,1,18,6
China,1,0,0,18,6
India,1,0,0,18,6
Siam,1,0,0,18,6
Indonesia,1,0,0,18,6
New Guinea,0,1,0,18,6
Western Australia,1,0,0,18,6
Eastern Australia,0,1,0,18,6
Middle East,1,0,0,18,6
