Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,1,0,10,4
Northwest Territory,0,15,0,10,4
Greenland,0,1,0,10,4
Alberta,0,1,0,10,4
Ontario,0,6,0,10,4
Quebec,0,1,0,10,4
Western United States,0,1,0,10,4
Eastern United States,0,1,0,10,4
Central America,0,7,0,10,4
Venezuela,0,1,0,10,4
Peru,0,1,0,10,4
Brazil,2,0,0,10,4
Argentina,0,1,0,10,4
North Africa,1,0,0,10,4
Egypt,0,0,1,10,4
East Africa,1,0,0,10,4
Congo,0,1,0,10,4
South Africa,1,0,0,10,4
Madagascar,1,0,0,10,4
Western Europe,7,0,0,10,4
Southern Europe,0,0,1,10,4
Northern Europe,0,0,1,10,4
Great Britain,0,0,1,10,4
Iceland,0,0,1,10,4
Scandinavia,0,1,0,10,4
Ukraine,0,0,1,10,4
Afghanistan,0,1,0,10,4
Ural,1,0,0,10,4
Siberia,1,0,0,10,4
Yakutsk,1,0,0,10,4
Kamchatka,0,0,1,10,4
Irkutsk,0,0,1,10,4
Mongolia,0,0,1,10,4
Japan,0,0,1,10,4
China,0,0,1,10,4
India,1,0,0,10,4
Siam,1,0,0,10,4
Indonesia,0,0,1,10,4
New Guinea,0,1,0,10,4
Western Australia,0,1,0,10,4
Eastern Australia,0,0,1,10,4
Middle East,0,1,0,10,4
