Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,1,0,18,6
Northwest Territory,0,1,0,18,6
Greenland,0,31,0,18,6
Alberta,0,1,0,18,6
Ontario,0,1,0,18,6
Quebec,0,1,0,18,6
Western United States,0,19,0,18,6
Eastern United States,0,1,0,18,6
Central America,0,1,0,18,6
Venezuela,0,1,0,18,6
Peru,0,1,0,18,6
Brazil,3,0,0,18,6
Argentina,0,1,0,18,6
North Africa,1,0,0,18,6
Egypt,0,0,1,18,6
East Africa,2,0,0,18,6
Congo,0,1,0,18,6
South Africa,1,0,0,18,6
Madagascar,2,0,0,18,6
Western Europe,0,1,0,18,6
Southern Europe,0,1,0,18,6
Northern Europe,0,1,0,18,6
Great Britain,0,1,0,18,6
Iceland,0,1,0,18,6
Scandinavia,0,1,0,18,6
Ukraine,0,0,1,18,6
Afghanistan,0,1,0,18,6
Ural,0,0,1,18,6
Siberia,0,0,1,18,6
Yakutsk,0,0,1,18,6
Kamchatka,0,0,1,18,6
Irkutsk,0,0,1,18,6
Mongolia,0,0,1,18,6
Japan,0,0,1,18,6
China,0,0,1,18,6
India,1,0,0,18,6
Siam,1,0,0,18,6
Indonesia,0,0,1,18,6
New Guinea,0,1,0,18,6
Western Australia,0,1,0,18,6
Eastern Australia,0,0,1,18,6
Middle East,0,1,0,18,6
