Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,1,0,34,12
Northwest Territory,0,1,0,34,12
Greenland,0,61,0,34,12
Alberta,0,1,0,34,12
Ontario,0,1,0,34,12
Quebec,0,1,0,34,12
Western United States,0,49,0,34,12
Eastern United States,0,1,0,34,12
Central America,0,1,0,34,12
Venezuela,0,1,0,34,12
Peru,0,1,0,34,12
Brazil,19,0,0,34,12
Argentina,0,1,0,34,12
North Africa,3,0,0,34,12
Egypt,0,0,1,34,12
East Africa,2,0,0,34,12
Congo,0,1,0,34,12
South Africa,1,0,0,34,12
Madagascar,2,0,0,34,12
Western Europe,0,1,0,34,12
Southern Europe,0,1,0,34,12
Northern Europe,0,1,0,34,12
Great Britain,0,1,0,34,12
Iceland,0,1,0,34,12
Scandinavia,0,1,0,34,12
Ukraine,0,0,1,34,12
Afghanistan,0,0,1,34,12
Ural,0,0,2,34,12
Siberia,0,0,3,34,12
Yakutsk,0,0,1,34,12
Kamchatka,0,0,1,34,12
Irkutsk,0,0,1,34,12
Mongolia,0,0,21,34,12
Japan,0,0,1,34,12
China,0,0,1,34,12
India,0,0,1,34,12
Siam,1,0,0,34,12
Indonesia,0,0,1,34,12
New Guinea,0,1,0,34,12
Western Australia,0,1,0,34,12
Eastern Australia,0,0,1,34,12
Middle East,0,1,0,34,12
