Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,1,0,32,11
Northwest Territory,0,1,0,32,11
Greenland,0,61,0,32,11
Alberta,0,1,0,32,11
Ontario,0,1,0,32,11
Quebec,0,1,0,32,11
Western United States,0,49,0,32,11
Eastern United States,0,1,0,32,11
Central America,0,1,0,32,11
Venezuela,0,1,0,32,11
Peru,0,1,0,32,11
Brazil,10,0,0,32,11
Argentina,0,1,0,32,11
North Africa,9,0,0,32,11
Egypt,0,0,1,32,11
East Africa,2,0,0,32,11
Congo,0,1,0,32,11
South Africa,1,0,0,32,11
Madagascar,2,0,0,32,11
Western Europe,0,1,0,32,11
Southern Europe,0,1,0,32,11
Northern Europe,0,1,0,32,11
Great Britain,0,1,0,32,11
Iceland,0,1,0,32,11
Scandinavia,0,1,0,32,11
Ukraine,0,0,1,32,11
Afghanistan,0,0,1,32,11
Ural,0,0,1,32,11
Siberia,0,0,2,32,11
Yakutsk,0,0,1,32,11
Kamchatka,0,0,1,32,11
Irkutsk,0,0,1,32,11
Mongolia,0,0,19,32,11
Japan,0,0,1,32,11
China,0,0,1,32,11
India,0,0,1,32,11
Siam,1,0,0,32,11
Indonesia,0,0,1,32,11
New Guinea,0,1,0,32,11
Western Australia,0,1,0,32,11
Eastern Australia,0,0,1,32,11
Middle East,0,1,0,32,11
