Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,1,0,49,17
Northwest Territory,0,1,0,49,17
Greenland,0,91,0,49,17
Alberta,0,1,0,49,17
Ontario,0,1,0,49,17
Quebec,0,1,0,49,17
Western United States,0,1,0,49,17
Eastern United States,0,1,0,49,17
Central America,0,78,0,49,17
Venezuela,4,0,0,49,17
Peru,0,1,0,49,17
Brazil,10,0,0,49,17
Argentina,0,1,0,49,17
North Africa,26,0,0,49,17
Egypt,0,0,1,49,17
East Africa,2,0,0,49,17
Congo,0,1,0,49,17
South Africa,1,0,0,49,17
Madagascar,2,0,0,49,17
Western Europe,3,0,0,49,17
Southern Europe,0,1,0,49,17
Northern Europe,0,1,0,49,17
Great Britain,0,1,0,49,17
Iceland,0,1,0,49,17
Scandinavia,0,1,0,49,17
Ukraine,0,0,1,49,17
Afghanistan,0,0,1,49,17
Ural,0,0,5,49,17
Siberia,0,0,3,49,17
Yakutsk,0,0,1,49,17
Kamchatka,0,0,1,49,17
Irkutsk,0,0,1,49,17
Mongolia,0,0,38,49,17
Japan,0,0,1,49,17
China,0,0,1,49,17
India,0,0,1,49,17
Siam,1,0,0,49,17
Indonesia,0,0,1,49,17
New Guinea,0,1,0,49,17
Western Australia,0,1,0,49,17
Eastern Australia,0,0,1,49,17
Middle East,0,1,0,49,17
