Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,1,0,41,14
Northwest Territory,0,1,0,41,14
Greenland,0,79,0,41,14
Alberta,0,1,0,41,14
Ontario,0,1,0,41,14
Quebec,0,1,0,41,14
Western United States,0,1,0,41,14
Eastern United States,0,67,0,41,14
Central America,0,1,0,41,14
Venezuela,4,0,0,41,14
Peru,0,1,0,41,14
Brazil,15,0,0,41,14
Argentina,0,1,0,41,14
North Africa,9,0,0,41,14
Egypt,0,0,1,41,14
East Africa,2,0,0,41,14
Congo,0,1,0,41,14
South Africa,1,0,0,41,14
Madagascar,2,0,0,41,14
Western Europe,0,1,0,41,14
Southern Europe,0,1,0,41,14
Northern Europe,0,1,0,41,14
Great Britain,0,1,0,41,14
Iceland,0,1,0,41,14
Scandinavia,0,1,0,41,14
Ukraine,0,0,1,41,14
Afghanistan,0,0,1,41,14
Ural,0,0,11,41,14
Siberia,0,0,5,41,14
Yakutsk,0,0,1,41,14
Kamchatka,0,0,1,41,14
Irkutsk,0,0,1,41,14
Mongolia,0,0,18,41,14
Japan,0,0,1,41,14
China,0,0,1,41,14
India,0,0,1,41,14
Siam,1,0,0,41,14
Indonesia,0,0,1,41,14
New Guinea,0,1,0,41,14
Western Australia,0,1,0,41,14
Eastern Australia,0,0,1,41,14
Middle East,0,1,0,41,14
