Territory,Weak(gpt-3.5-turbo),Strong(gpt-4o),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,1,0,38,13
Northwest Territory,0,1,0,38,13
Greenland,0,73,0,38,13
Alberta,0,1,0,38,13
Ontario,0,1,0,38,13
Quebec,0,1,0,38,13
Western United States,0,61,0,38,13
Eastern United States,0,1,0,38,13
Central America,0,1,0,38,13
Venezuela,5,0,0,38,13
Peru,0,1,0,38,13
Brazil,14,0,0,38,13
Argentina,0,1,0,38,13
North Africa,6,0,0,38,13
Egypt,0,0,1,38,13
East Africa,2,0,0,38,13
Congo,0,1,0,38,13
South Africa,1,0,0,38,13
Madagascar,2,0,0,38,13
Western Europe,0,1,0,38,13
Southern Europe,0,1,0,38,13
Northern Europe,0,1,0,38,13
Great Britain,0,1,0,38,13
Iceland,0,1,0,38,13
Scandinavia,0,1,0,38,13
Ukraine,0,0,1,38,13
Afghanistan,0,0,1,38,13
Ural,0,0,5,38,13
Siberia,0,0,4,38,13
Yakutsk,0,0,1,38,13
Kamchatka,0,0,1,38,13
Irkutsk,0,0,1,38,13
Mongolia,0,0,21,38,13
Japan,0,0,1,38,13
China,0,0,1,38,13
India,0,0,1,38,13
Siam,1,0,0,38,13
Indonesia,0,0,1,38,13
New Guinea,0,1,0,38,13
Western Australia,0,1,0,38,13
Eastern Australia,0,0,1,38,13
Middle East,0,1,0,38,13
