Territory,Strong(gpt-4o),Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,1,0,0,47,16
Northwest Territory,1,0,0,47,16
Greenland,1,0,0,47,16
Alberta,6,0,0,47,16
Ontario,2,0,0,47,16
Quebec,2,0,0,47,16
Western United States,2,0,0,47,16
Eastern United States,62,0,0,47,16
Central America,62,0,0,47,16
Venezuela,1,0,0,47,16
Peru,1,0,0,47,16
Brazil,0,3,0,47,16
Argentina,1,0,0,47,16
North Africa,0,30,0,47,16
Egypt,1,0,0,47,16
East Africa,0,1,0,47,16
Congo,0,1,0,47,16
South Africa,0,3,0,47,16
Madagascar,0,1,0,47,16
Western Europe,0,0,1,47,16
Southern Europe,0,0,1,47,16
Northern Europe,0,0,10,47,16
Great Britain,0,0,1,47,16
Iceland,0,0,1,47,16
Scandinavia,0,0,3,47,16
Ukraine,2,0,0,47,16
Afghanistan,0,0,1,47,16
Ural,1,0,0,47,16
Siberia,3,0,0,47,16
Yakutsk,1,0,0,47,16
Kamchatka,1,0,0,47,16
Irkutsk,0,0,1,47,16
Mongolia,0,0,11,47,16
Japan,0,0,1,47,16
China,0,0,1,47,16
India,0,1,0,47,16
Siam,0,0,1,47,16
Indonesia,0,0,1,47,16
New Guinea,1,0,0,47,16
Western Australia,0,1,0,47,16
Eastern Australia,0,0,1,47,16
Middle East,0,0,1,47,16
