Territory,Strong(gpt-4o),Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,6,0,0,22,8
Northwest Territory,1,0,0,22,8
Greenland,6,0,0,22,8
Alberta,6,0,0,22,8
Ontario,1,0,0,22,8
Quebec,1,0,0,22,8
Western United States,1,0,0,22,8
Eastern United States,46,0,0,22,8
Central America,1,0,0,22,8
Venezuela,1,0,0,22,8
Peru,1,0,0,22,8
Brazil,0,5,0,22,8
Argentina,1,0,0,22,8
North Africa,0,6,0,22,8
Egypt,1,0,0,22,8
East Africa,0,1,0,22,8
Congo,0,1,0,22,8
South Africa,0,3,0,22,8
Madagascar,0,1,0,22,8
Western Europe,1,0,0,22,8
Southern Europe,1,0,0,22,8
Northern Europe,1,0,0,22,8
Great Britain,1,0,0,22,8
Iceland,1,0,0,22,8
Scandinavia,1,0,0,22,8
Ukraine,1,0,0,22,8
Afghanistan,0,1,0,22,8
Ural,0,0,1,22,8
Siberia,1,0,0,22,8
Yakutsk,0,1,0,22,8
Kamchatka,1,0,0,22,8
Irkutsk,0,1,0,22,8
Mongolia,1,0,0,22,8
Japan,0,0,1,22,8
China,0,0,1,22,8
India,0,1,0,22,8
Siam,0,0,1,22,8
Indonesia,0,0,1,22,8
New Guinea,1,0,0,22,8
Western Australia,0,1,0,22,8
Eastern Australia,0,0,1,22,8
Middle East,0,1,0,22,8
