Territory,Strong(gpt-4o),Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,1,0,0,36,12
Northwest Territory,30,0,0,36,12
Greenland,1,0,0,36,12
Alberta,6,0,0,36,12
Ontario,1,0,0,36,12
Quebec,1,0,0,36,12
Western United States,1,0,0,36,12
Eastern United States,59,0,0,36,12
Central America,18,0,0,36,12
Venezuela,1,0,0,36,12
Peru,1,0,0,36,12
Brazil,0,3,0,36,12
Argentina,1,0,0,36,12
North Africa,0,18,0,36,12
Egypt,1,0,0,36,12
East Africa,0,1,0,36,12
Congo,0,1,0,36,12
South Africa,0,3,0,36,12
Madagascar,0,1,0,36,12
Western Europe,0,0,1,36,12
Southern Europe,0,0,1,36,12
Northern Europe,0,0,1,36,12
Great Britain,0,0,1,36,12
Iceland,1,0,0,36,12
Scandinavia,0,0,1,36,12
Ukraine,0,0,1,36,12
Afghanistan,0,0,1,36,12
Ural,0,0,1,36,12
Siberia,0,0,1,36,12
Yakutsk,0,0,1,36,12
Kamchatka,1,0,0,36,12
Irkutsk,1,0,0,36,12
Mongolia,0,0,1,36,12
Japan,0,0,1,36,12
China,0,0,1,36,12
India,0,1,0,36,12
Siam,0,0,1,36,12
Indonesia,0,0,1,36,12
New Guinea,1,0,0,36,12
Western Australia,0,1,0,36,12
Eastern Australia,0,0,1,36,12
Middle East,0,0,1,36,12
