Territory,Strong(gpt-4o),Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,0,0,1,48,16
Northwest Territory,1,0,0,48,16
Greenland,1,0,0,48,16
Alberta,5,0,0,48,16
Ontario,2,0,0,48,16
Quebec,2,0,0,48,16
Western United States,2,0,0,48,16
Eastern United States,62,0,0,48,16
Central America,62,0,0,48,16
Venezuela,1,0,0,48,16
Peru,1,0,0,48,16
Brazil,0,3,0,48,16
Argentina,1,0,0,48,16
North Africa,0,30,0,48,16
Egypt,1,0,0,48,16
East Africa,0,1,0,48,16
Congo,0,1,0,48,16
South Africa,0,3,0,48,16
Madagascar,0,1,0,48,16
Western Europe,0,0,1,48,16
Southern Europe,0,0,1,48,16
Northern Europe,0,0,7,48,16
Great Britain,0,0,1,48,16
Iceland,0,0,1,48,16
Scandinavia,0,0,1,48,16
Ukraine,0,0,1,48,16
Afghanistan,0,0,1,48,16
Ural,0,0,1,48,16
Siberia,0,0,1,48,16
Yakutsk,0,0,1,48,16
Kamchatka,0,0,1,48,16
Irkutsk,0,0,1,48,16
Mongolia,0,0,13,48,16
Japan,0,0,1,48,16
China,0,0,1,48,16
India,0,1,0,48,16
Siam,0,0,1,48,16
Indonesia,0,0,1,48,16
New Guinea,1,0,0,48,16
Western Australia,0,1,0,48,16
Eastern Australia,0,0,1,48,16
Middle East,0,0,1,48,16
