Territory,Strong(gpt-4o),Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,1,0,0,37,13
Northwest Territory,35,0,0,37,13
Greenland,1,0,0,37,13
Alberta,6,0,0,37,13
Ontario,1,0,0,37,13
Quebec,1,0,0,37,13
Western United States,1,0,0,37,13
Eastern United States,47,0,0,37,13
Central America,35,0,0,37,13
Venezuela,1,0,0,37,13
Peru,1,0,0,37,13
Brazil,0,3,0,37,13
Argentina,1,0,0,37,13
North Africa,0,18,0,37,13
Egypt,1,0,0,37,13
East Africa,0,1,0,37,13
Congo,0,1,0,37,13
South Africa,0,3,0,37,13
Madagascar,0,1,0,37,13
Western Europe,0,0,1,37,13
Southern Europe,0,0,1,37,13
Northern Europe,0,0,1,37,13
Great Britain,0,0,1,37,13
Iceland,1,0,0,37,13
Scandinavia,0,0,1,37,13
Ukraine,0,0,1,37,13
Afghanistan,0,0,1,37,13
Ural,0,0,1,37,13
Siberia,0,0,1,37,13
Yakutsk,0,0,1,37,13
Kamchatka,1,0,0,37,13
Irkutsk,1,0,0,37,13
Mongolia,0,0,1,37,13
Japan,0,0,1,37,13
China,0,0,1,37,13
India,0,1,0,37,13
Siam,0,0,1,37,13
Indonesia,0,0,1,37,13
New Guinea,1,0,0,37,13
Western Australia,0,1,0,37,13
Eastern Australia,0,0,1,37,13
Middle East,0,0,1,37,13
