Territory,Strong(gpt-4o),Weak(gpt-3.5-turbo),Medium(gpt-4o-mini),Turn_Number,Game_Round
Alaska,1,0,0,43,15
Northwest Territory,35,0,0,43,15
Greenland,1,0,0,43,15
Alberta,6,0,0,43,15
Ontario,1,0,0,43,15
Quebec,1,0,0,43,15
Western United States,1,0,0,43,15
Eastern United States,62,0,0,43,15
Central America,40,0,0,43,15
Venezuela,1,0,0,43,15
Peru,1,0,0,43,15
Brazil,0,3,0,43,15
Argentina,1,0,0,43,15
North Africa,0,24,0,43,15
Egypt,1,0,0,43,15
East Africa,0,1,0,43,15
Congo,0,1,0,43,15
South Africa,0,3,0,43,15
Madagascar,0,1,0,43,15
Western Europe,0,0,1,43,15
Southern Europe,0,0,1,43,15
Northern Europe,0,0,5,43,15
Great Britain,0,0,1,43,15
Iceland,0,0,1,43,15
Scandinavia,0,0,3,43,15
Ukraine,0,0,1,43,15
Afghanistan,0,0,1,43,15
Ural,0,0,1,43,15
Siberia,0,0,1,43,15
Yakutsk,0,0,1,43,15
Kamchatka,1,0,0,43,15
Irkutsk,1,0,0,43,15
Mongolia,0,0,1,43,15
Japan,0,0,1,43,15
China,0,0,1,43,15
India,0,1,0,43,15
Siam,0,0,1,43,15
Indonesia,0,0,1,43,15
New Guinea,1,0,0,43,15
Western Australia,0,1,0,43,15
Eastern Australia,0,0,1,43,15
Middle East,0,0,1,43,15
