Territory,Player_Player 1,Player_Player 2,Player_Player 4,Turn_Number,Game_Round
Alaska,1,0,0,7,3
Northwest Territory,0,1,0,7,3
Greenland,0,1,0,7,3
Alberta,0,1,0,7,3
Ontario,0,2,0,7,3
Quebec,0,2,0,7,3
Western United States,0,1,0,7,3
Eastern United States,0,5,0,7,3
Central America,0,1,0,7,3
Venezuela,0,1,0,7,3
Peru,0,1,0,7,3
Brazil,1,0,0,7,3
Argentina,1,0,0,7,3
North Africa,4,0,0,7,3
Egypt,10,0,0,7,3
East Africa,1,0,0,7,3
Congo,1,0,0,7,3
South Africa,1,0,0,7,3
Madagascar,0,1,0,7,3
Western Europe,1,0,0,7,3
Southern Europe,1,0,0,7,3
Northern Europe,1,0,0,7,3
Great Britain,0,1,0,7,3
Iceland,0,1,0,7,3
Scandinavia,1,0,0,7,3
Ukraine,1,0,0,7,3
Afghanistan,0,0,1,7,3
Ural,1,0,0,7,3
Siberia,1,0,0,7,3
Yakutsk,1,0,0,7,3
Kamchatka,1,0,0,7,3
Irkutsk,1,0,0,7,3
Mongolia,1,0,0,7,3
Japan,4,0,0,7,3
China,1,0,0,7,3
India,0,0,1,7,3
Siam,0,1,0,7,3
Indonesia,0,1,0,7,3
New Guinea,0,1,0,7,3
Western Australia,0,1,0,7,3
Eastern Australia,0,1,0,7,3
Middle East,1,0,0,7,3
