Territory,Player_Player 1,Player_Player 2,Player_Player 4,Turn_Number,Game_Round
Alaska,1,0,0,3,1
Northwest Territory,0,1,0,3,1
Greenland,0,1,0,3,1
Alberta,0,1,0,3,1
Ontario,0,1,0,3,1
Quebec,0,2,0,3,1
Western United States,0,3,0,3,1
Eastern United States,0,10,0,3,1
Central America,0,1,0,3,1
Venezuela,3,0,0,3,1
Peru,3,0,0,3,1
Brazil,2,0,0,3,1
Argentina,1,0,0,3,1
North Africa,11,0,0,3,1
Egypt,0,0,1,3,1
East Africa,0,0,1,3,1
Congo,0,0,1,3,1
South Africa,0,0,1,3,1
Madagascar,0,1,0,3,1
Western Europe,1,0,0,3,1
Southern Europe,2,0,0,3,1
Northern Europe,0,0,1,3,1
Great Britain,0,1,0,3,1
Iceland,0,1,0,3,1
Scandinavia,1,0,0,3,1
Ukraine,0,0,1,3,1
Afghanistan,0,0,1,3,1
Ural,3,0,0,3,1
Siberia,2,0,0,3,1
Yakutsk,0,0,1,3,1
Kamchatka,0,0,1,3,1
Irkutsk,0,0,1,3,1
Mongolia,5,0,0,3,1
Japan,0,1,0,3,1
China,1,0,0,3,1
India,0,1,0,3,1
Siam,0,1,0,3,1
Indonesia,0,1,0,3,1
New Guinea,0,1,0,3,1
Western Australia,0,1,0,3,1
Eastern Australia,0,1,0,3,1
Middle East,1,0,0,3,1
