Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,0,1,0,8,3
Northwest Territory,1,0,0,8,3
Greenland,1,0,0,8,3
Alberta,1,0,0,8,3
Ontario,2,0,0,8,3
Quebec,1,0,0,8,3
Western United States,1,0,0,8,3
Eastern United States,1,0,0,8,3
Central America,1,0,0,8,3
Venezuela,1,0,0,8,3
Peru,1,0,0,8,3
Brazil,1,0,0,8,3
Argentina,2,0,0,8,3
North Africa,17,0,0,8,3
Egypt,0,1,0,8,3
East Africa,0,1,0,8,3
Congo,1,0,0,8,3
South Africa,0,0,1,8,3
Madagascar,0,1,0,8,3
Western Europe,0,1,0,8,3
Southern Europe,0,1,0,8,3
Northern Europe,0,1,0,8,3
Great Britain,0,1,0,8,3
Iceland,1,0,0,8,3
Scandinavia,0,0,1,8,3
Ukraine,0,1,0,8,3
Afghanistan,0,0,1,8,3
Ural,0,1,0,8,3
Siberia,0,0,1,8,3
Yakutsk,0,0,1,8,3
Kamchatka,0,0,1,8,3
Irkutsk,0,0,1,8,3
Mongolia,0,0,1,8,3
Japan,0,0,1,8,3
China,0,0,1,8,3
India,0,0,1,8,3
Siam,0,1,0,8,3
Indonesia,0,0,1,8,3
New Guinea,0,0,1,8,3
Western Australia,0,1,0,8,3
Eastern Australia,0,0,1,8,3
Middle East,1,0,0,8,3
