Territory,gpt-4o,Claude_Sonnet_3_5,llama3.1_70,Turn_Number,Game_Round
Alaska,0,15,0,4,2
Northwest Territory,0,3,0,4,2
Greenland,0,1,0,4,2
Alberta,0,1,0,4,2
Ontario,0,1,0,4,2
Quebec,0,1,0,4,2
Western United States,1,0,0,4,2
Eastern United States,0,1,0,4,2
Central America,11,0,0,4,2
Venezuela,1,0,0,4,2
Peru,1,0,0,4,2
Brazil,17,0,0,4,2
Argentina,2,0,0,4,2
North Africa,1,0,0,4,2
Egypt,0,1,0,4,2
East Africa,0,1,0,4,2
Congo,1,0,0,4,2
South Africa,0,0,1,4,2
Madagascar,0,1,0,4,2
Western Europe,0,1,0,4,2
Southern Europe,0,1,0,4,2
Northern Europe,1,0,0,4,2
Great Britain,1,0,0,4,2
Iceland,0,1,0,4,2
Scandinavia,0,0,1,4,2
Ukraine,0,1,0,4,2
Afghanistan,0,0,1,4,2
Ural,0,0,1,4,2
Siberia,0,0,1,4,2
Yakutsk,0,0,1,4,2
Kamchatka,0,0,1,4,2
Irkutsk,0,0,1,4,2
Mongolia,0,0,16,4,2
Japan,0,0,2,4,2
China,0,0,1,4,2
India,0,0,1,4,2
Siam,0,1,0,4,2
Indonesia,1,0,0,4,2
New Guinea,0,0,1,4,2
Western Australia,0,1,0,4,2
Eastern Australia,0,0,1,4,2
Middle East,1,0,0,4,2
