Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,14,5
Northwest Territory,0,0,1,14,5
Greenland,0,0,1,14,5
Alberta,0,0,1,14,5
Ontario,0,0,5,14,5
Quebec,0,0,32,14,5
Western United States,0,0,1,14,5
Eastern United States,0,0,2,14,5
Central America,0,1,0,14,5
Venezuela,0,1,0,14,5
Peru,0,1,0,14,5
Brazil,0,8,0,14,5
Argentina,0,1,0,14,5
North Africa,0,1,0,14,5
Egypt,0,1,0,14,5
East Africa,0,0,1,14,5
Congo,0,1,0,14,5
South Africa,0,0,1,14,5
Madagascar,0,1,0,14,5
Western Europe,1,0,0,14,5
Southern Europe,1,0,0,14,5
Northern Europe,1,0,0,14,5
Great Britain,0,1,0,14,5
Iceland,1,0,0,14,5
Scandinavia,1,0,0,14,5
Ukraine,1,0,0,14,5
Afghanistan,0,1,0,14,5
Ural,0,1,0,14,5
Siberia,0,0,1,14,5
Yakutsk,1,0,0,14,5
Kamchatka,1,0,0,14,5
Irkutsk,1,0,0,14,5
Mongolia,1,0,0,14,5
Japan,1,0,0,14,5
China,1,0,0,14,5
India,0,1,0,14,5
Siam,1,0,0,14,5
Indonesia,0,1,0,14,5
New Guinea,0,0,1,14,5
Western Australia,1,0,0,14,5
Eastern Australia,0,0,1,14,5
Middle East,0,0,1,14,5
