Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,43,15
Northwest Territory,0,0,2,43,15
Greenland,0,0,1,43,15
Alberta,0,0,1,43,15
Ontario,0,0,43,43,15
Quebec,0,0,25,43,15
Western United States,0,0,1,43,15
Eastern United States,0,0,1,43,15
Central America,0,1,0,43,15
Venezuela,0,1,0,43,15
Peru,0,13,0,43,15
Brazil,0,3,0,43,15
Argentina,0,1,0,43,15
North Africa,1,0,0,43,15
Egypt,14,0,0,43,15
East Africa,1,0,0,43,15
Congo,1,0,0,43,15
South Africa,1,0,0,43,15
Madagascar,1,0,0,43,15
Western Europe,12,0,0,43,15
Southern Europe,1,0,0,43,15
Northern Europe,1,0,0,43,15
Great Britain,2,0,0,43,15
Iceland,1,0,0,43,15
Scandinavia,1,0,0,43,15
Ukraine,6,0,0,43,15
Afghanistan,1,0,0,43,15
Ural,1,0,0,43,15
Siberia,0,0,1,43,15
Yakutsk,1,0,0,43,15
Kamchatka,0,0,1,43,15
Irkutsk,1,0,0,43,15
Mongolia,1,0,0,43,15
Japan,1,0,0,43,15
China,1,0,0,43,15
India,1,0,0,43,15
Siam,1,0,0,43,15
Indonesia,0,1,0,43,15
New Guinea,0,0,1,43,15
Western Australia,1,0,0,43,15
Eastern Australia,0,0,1,43,15
Middle East,1,0,0,43,15
