Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,1,0,0,5,2
Northwest Territory,1,0,0,5,2
Greenland,0,0,8,5,2
Alberta,1,0,0,5,2
Ontario,1,0,0,5,2
Quebec,0,0,17,5,2
Western United States,1,0,0,5,2
Eastern United States,1,0,0,5,2
Central America,1,0,0,5,2
Venezuela,0,1,0,5,2
Peru,0,1,0,5,2
Brazil,1,0,0,5,2
Argentina,0,1,0,5,2
North Africa,0,0,1,5,2
Egypt,0,1,0,5,2
East Africa,0,0,1,5,2
Congo,0,1,0,5,2
South Africa,0,0,1,5,2
Madagascar,0,1,0,5,2
Western Europe,1,0,0,5,2
Southern Europe,0,0,1,5,2
Northern Europe,0,1,0,5,2
Great Britain,0,1,0,5,2
Iceland,1,0,0,5,2
Scandinavia,1,0,0,5,2
Ukraine,1,0,0,5,2
Afghanistan,0,1,0,5,2
Ural,0,1,0,5,2
Siberia,0,0,1,5,2
Yakutsk,1,0,0,5,2
Kamchatka,1,0,0,5,2
Irkutsk,0,0,1,5,2
Mongolia,1,0,0,5,2
Japan,1,0,0,5,2
China,1,0,0,5,2
India,0,1,0,5,2
Siam,1,0,0,5,2
Indonesia,0,1,0,5,2
New Guinea,0,0,1,5,2
Western Australia,1,0,0,5,2
Eastern Australia,0,0,1,5,2
Middle East,0,0,1,5,2
