Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,12,4
Northwest Territory,0,0,1,12,4
Greenland,0,0,1,12,4
Alberta,0,0,1,12,4
Ontario,0,0,5,12,4
Quebec,0,0,32,12,4
Western United States,0,0,1,12,4
Eastern United States,0,0,3,12,4
Central America,0,0,1,12,4
Venezuela,0,1,0,12,4
Peru,0,1,0,12,4
Brazil,0,4,0,12,4
Argentina,0,1,0,12,4
North Africa,0,1,0,12,4
Egypt,0,1,0,12,4
East Africa,0,0,1,12,4
Congo,0,1,0,12,4
South Africa,0,0,1,12,4
Madagascar,0,1,0,12,4
Western Europe,1,0,0,12,4
Southern Europe,1,0,0,12,4
Northern Europe,0,1,0,12,4
Great Britain,0,1,0,12,4
Iceland,1,0,0,12,4
Scandinavia,1,0,0,12,4
Ukraine,1,0,0,12,4
Afghanistan,0,1,0,12,4
Ural,0,1,0,12,4
Siberia,0,0,1,12,4
Yakutsk,1,0,0,12,4
Kamchatka,1,0,0,12,4
Irkutsk,1,0,0,12,4
Mongolia,1,0,0,12,4
Japan,1,0,0,12,4
China,1,0,0,12,4
India,0,1,0,12,4
Siam,1,0,0,12,4
Indonesia,0,1,0,12,4
New Guinea,0,0,1,12,4
Western Australia,1,0,0,12,4
Eastern Australia,0,0,1,12,4
Middle East,0,0,1,12,4
