Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,27,9
Northwest Territory,0,0,1,27,9
Greenland,0,0,1,27,9
Alberta,0,0,1,27,9
Ontario,0,0,6,27,9
Quebec,0,0,49,27,9
Western United States,0,0,1,27,9
Eastern United States,0,0,1,27,9
Central America,0,1,0,27,9
Venezuela,0,1,0,27,9
Peru,0,7,0,27,9
Brazil,0,26,0,27,9
Argentina,0,1,0,27,9
North Africa,0,1,0,27,9
Egypt,0,1,0,27,9
East Africa,0,1,0,27,9
Congo,0,1,0,27,9
South Africa,0,3,0,27,9
Madagascar,0,1,0,27,9
Western Europe,1,0,0,27,9
Southern Europe,4,0,0,27,9
Northern Europe,6,0,0,27,9
Great Britain,2,0,0,27,9
Iceland,1,0,0,27,9
Scandinavia,1,0,0,27,9
Ukraine,1,0,0,27,9
Afghanistan,1,0,0,27,9
Ural,1,0,0,27,9
Siberia,0,0,1,27,9
Yakutsk,1,0,0,27,9
Kamchatka,1,0,0,27,9
Irkutsk,1,0,0,27,9
Mongolia,1,0,0,27,9
Japan,1,0,0,27,9
China,1,0,0,27,9
India,1,0,0,27,9
Siam,1,0,0,27,9
Indonesia,0,1,0,27,9
New Guinea,0,0,1,27,9
Western Australia,1,0,0,27,9
Eastern Australia,0,0,1,27,9
Middle East,1,0,0,27,9
