Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,17,6
Northwest Territory,0,0,1,17,6
Greenland,0,0,1,17,6
Alberta,0,0,1,17,6
Ontario,0,0,5,17,6
Quebec,0,0,36,17,6
Western United States,0,0,1,17,6
Eastern United States,0,0,1,17,6
Central America,0,1,0,17,6
Venezuela,0,2,0,17,6
Peru,0,3,0,17,6
Brazil,0,11,0,17,6
Argentina,0,1,0,17,6
North Africa,0,1,0,17,6
Egypt,0,1,0,17,6
East Africa,0,0,1,17,6
Congo,0,1,0,17,6
South Africa,0,0,1,17,6
Madagascar,0,1,0,17,6
Western Europe,1,0,0,17,6
Southern Europe,1,0,0,17,6
Northern Europe,1,0,0,17,6
Great Britain,0,1,0,17,6
Iceland,1,0,0,17,6
Scandinavia,1,0,0,17,6
Ukraine,1,0,0,17,6
Afghanistan,0,1,0,17,6
Ural,0,1,0,17,6
Siberia,0,0,1,17,6
Yakutsk,1,0,0,17,6
Kamchatka,1,0,0,17,6
Irkutsk,1,0,0,17,6
Mongolia,1,0,0,17,6
Japan,1,0,0,17,6
China,1,0,0,17,6
India,0,1,0,17,6
Siam,1,0,0,17,6
Indonesia,0,1,0,17,6
New Guinea,0,0,1,17,6
Western Australia,1,0,0,17,6
Eastern Australia,0,0,1,17,6
Middle East,1,0,0,17,6
