Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,46,16
Northwest Territory,0,0,2,46,16
Greenland,0,0,1,46,16
Alberta,0,0,1,46,16
Ontario,0,0,57,46,16
Quebec,0,0,15,46,16
Western United States,8,0,0,46,16
Eastern United States,0,0,1,46,16
Central America,1,0,0,46,16
Venezuela,1,0,0,46,16
Peru,0,16,0,46,16
Brazil,1,0,0,46,16
Argentina,0,1,0,46,16
North Africa,1,0,0,46,16
Egypt,1,0,0,46,16
East Africa,1,0,0,46,16
Congo,1,0,0,46,16
South Africa,1,0,0,46,16
Madagascar,1,0,0,46,16
Western Europe,18,0,0,46,16
Southern Europe,1,0,0,46,16
Northern Europe,1,0,0,46,16
Great Britain,2,0,0,46,16
Iceland,1,0,0,46,16
Scandinavia,1,0,0,46,16
Ukraine,12,0,0,46,16
Afghanistan,1,0,0,46,16
Ural,1,0,0,46,16
Siberia,0,0,1,46,16
Yakutsk,1,0,0,46,16
Kamchatka,0,0,1,46,16
Irkutsk,1,0,0,46,16
Mongolia,1,0,0,46,16
Japan,1,0,0,46,16
China,1,0,0,46,16
India,1,0,0,46,16
Siam,1,0,0,46,16
Indonesia,0,1,0,46,16
New Guinea,0,0,1,46,16
Western Australia,1,0,0,46,16
Eastern Australia,0,0,1,46,16
Middle East,1,0,0,46,16
