Territory,Strong(gpt-4o),Medium(gpt-4o-mini),Weak(gpt-3.5-turbo),Turn_Number,Game_Round
Alaska,0,0,1,42,14
Northwest Territory,0,0,2,42,14
Greenland,0,0,1,42,14
Alberta,0,0,1,42,14
Ontario,0,0,43,42,14
Quebec,0,0,25,42,14
Western United States,0,0,1,42,14
Eastern United States,0,0,1,42,14
Central America,0,1,0,42,14
Venezuela,0,1,0,42,14
Peru,0,13,0,42,14
Brazil,0,3,0,42,14
Argentina,0,1,0,42,14
North Africa,0,1,0,42,14
Egypt,10,0,0,42,14
East Africa,1,0,0,42,14
Congo,5,0,0,42,14
South Africa,1,0,0,42,14
Madagascar,1,0,0,42,14
Western Europe,1,0,0,42,14
Southern Europe,1,0,0,42,14
Northern Europe,7,0,0,42,14
Great Britain,2,0,0,42,14
Iceland,1,0,0,42,14
Scandinavia,1,0,0,42,14
Ukraine,3,0,0,42,14
Afghanistan,1,0,0,42,14
Ural,1,0,0,42,14
Siberia,0,0,1,42,14
Yakutsk,1,0,0,42,14
Kamchatka,0,0,1,42,14
Irkutsk,1,0,0,42,14
Mongolia,1,0,0,42,14
Japan,1,0,0,42,14
China,1,0,0,42,14
India,1,0,0,42,14
Siam,1,0,0,42,14
Indonesia,0,1,0,42,14
New Guinea,0,0,1,42,14
Western Australia,1,0,0,42,14
Eastern Australia,0,0,1,42,14
Middle East,1,0,0,42,14
